Date,Sales
2014-10-07,4313.350633936127
2014-10-08,4268.600644039941
2014-10-09,4185.918266661048
2014-10-10,4093.893723859104
2014-10-11,4043.043920554696
2014-10-12,3993.9791968799746
2014-10-13,3920.87515376268
2014-10-14,3873.2561040801106
2014-10-15,3872.1439955322116
2014-10-16,3837.214236399307
2014-10-17,3795.82967990174
2014-10-18,3797.209090085077
2014-10-19,3800.6277685703703
2014-10-20,3778.9216666623306
2014-10-21,3780.307805297515
2014-10-22,3824.566728476575
2014-10-23,3830.231084920041
2014-10-24,3823.6499777925183
2014-10-25,3853.184565096074
2014-10-26,3877.4311121022265
2014-10-27,3868.7457562994314
2014-10-28,3875.076087046714
2014-10-29,3916.1520538888335
2014-10-30,3910.6764583920817
2014-10-31,3885.385298742072
2014-11-01,3889.233522312653
2014-11-02,3881.602621154167
2014-11-03,3835.804720140817
2014-11-04,3800.888795220733
2014-11-05,3797.802203111365
2014-11-06,3746.548559173474
2014-11-07,3675.213108077737
2014-11-08,3634.1120876013256
2014-11-09,3583.9635095367967
2014-11-10,3499.355013139998
2014-11-11,3430.5154230181142
2014-11-12,3399.444148294542
2014-11-13,3327.040349506213
2014-11-14,3242.1038166906865
2014-11-15,3195.4647442552673
2014-11-16,3148.140378648385
2014-11-17,3074.7945970733167
2014-11-18,3025.5072908487264
2014-11-19,3021.907763408118
2014-11-20,2984.313971280274
2014-11-21,2940.749284178166
2014-11-22,2941.0935200897407
2014-11-23,2945.265653971573
2014-11-24,2926.713526150652
2014-11-25,2934.2166249339925
2014-11-26,2988.0551966371168
2014-11-27,3007.186536151371
2014-11-28,3018.299099932995
2014-11-29,3070.0001555877484
2014-11-30,3121.0333401759817
2014-12-01,3143.8004936368056
2014-12-02,3186.1929082945844
2014-12-03,3267.784479451552
2014-12-04,3307.026916497811
2014-12-05,3330.3171248158465
2014-12-06,3386.192095845816
2014-12-07,3433.547469690658
2014-12-08,3445.154104261779
2014-12-09,3469.477936222721
2014-12-10,3526.855936085155
2014-12-11,3536.6687987504547
2014-12-12,3526.381112940713
2014-12-13,3545.7051138200522
2014-12-14,3554.785062535475
2014-12-15,3527.6775538470974
2014-12-16,3514.1340649389163
2014-12-17,3535.7396073411032
2014-12-18,3513.049184651492
2014-12-19,3474.593832686833
2014-12-20,3471.0133220132234
2014-12-21,3463.213456941868
2014-12-22,3425.8240517921695
2014-12-23,3408.964544078351
2014-12-24,3434.371601401702
2014-12-25,3422.530753487193
2014-12-26,3401.6839789172905
2014-12-27,3421.9702988779413
2014-12-28,3443.5971038330163
2014-12-29,3440.3179115962175
2014-12-30,3461.2229687840522
2014-12-31,3526.896356066165
2015-01-01,3556.5808019911933
2015-01-02,3577.2212013563994
2015-01-03,3637.6428759907335
2015-01-04,3696.7612373540587
2015-01-05,3727.0974599485708
2015-01-06,3776.605497394513
2015-01-07,3864.8630597998285
2015-01-08,3910.2667842353458
2015-01-09,3939.101717497484
2015-01-10,3999.7403934725476
2015-01-11,4050.867551831275
2015-01-12,4065.0046549130284
2015-01-13,4090.339256219862
2015-01-14,4146.911742728419
2015-01-15,4153.799771593952
2015-01-16,4138.170792353606
2015-01-17,4149.458384839938
2015-01-18,4147.559071243382
2015-01-19,4106.324517908698
2015-01-20,4075.355065078916
2015-01-21,4076.1480931060923
2015-01-22,4029.2426061047126
